column,protocol,seed,planned_budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,normalized_rmse
8g,row,536279090,30,30,zero_shot,0.41097387464749857,17.248484323760902,10.9856824056653,0.5900406558226394,21.391075948938553,14.727101877461312,1.8113687509565437,1.7597841425785479
8g,row,536279090,30,30,column_mass_ratio_scaling,0.9275172579776764,6.050635159065364,3.177755377949148,0.9213911036137238,9.366947463259526,6.484467995132226,0.6815860125830849,0.675264204890196
8g,row,536279090,30,30,scale_only,0.9443339958292382,5.30247565678429,3.1616721243315666,0.9624808609812714,6.471257281942961,4.4510578419272635,0.5544668753249192,0.537730434451303
8g,row,536279090,30,30,affine,0.9389790592375273,5.5516631720207785,3.3604974715255094,0.960838779518763,6.611352968755369,4.488117153940002,0.5768537033531251,0.5578996641600585
8g,row,536279090,30,30,affine_condition_residual,0.9385000581264836,5.573410252104831,3.366066120482653,0.9578238134028004,6.861133818625249,4.869213324428171,0.5841392771131162,0.5670481184996763
8g,row,536279090,30,30,target_head_only,0.9224338256945471,6.259214652009996,3.350616237253382,0.9595961735454039,6.715424694070654,4.4590808066768925,0.6346182241650463,0.6060337690387333
8g,row,536279090,50,50,zero_shot,0.41097387464749857,17.248484323760902,10.9856824056653,0.5900406558226394,21.391075948938553,14.727101877461312,1.8113687509565437,1.7597841425785479
8g,row,536279090,50,50,column_mass_ratio_scaling,0.9275172579776764,6.050635159065364,3.177755377949148,0.9213911036137238,9.366947463259526,6.484467995132226,0.6815860125830849,0.675264204890196
8g,row,536279090,50,50,scale_only,0.8729351935443501,8.011176482043908,5.816957980285162,0.9388677320235752,8.260331734732103,5.778601441580235,0.8055012920179148,0.7652522541055958
8g,row,536279090,50,50,affine,0.6672744496247482,12.96363323487998,6.376466969281259,0.9332948149866122,8.628633670427236,5.7121481515868915,1.223675262754094,1.0909626926653309
8g,row,536279090,50,50,affine_condition_residual,0.6466564282281311,13.359255528493772,6.684118307865829,0.9274190920161519,9.00064086579694,6.072841794303815,1.262509943384562,1.1276366156869688
8g,row,536279090,50,50,target_head_only,0.9427015459721542,5.379663505627038,3.5661882240184832,0.9621062693919546,6.503481609608114,4.451886733234792,0.5611437245909849,0.543630570314994
8g,row,536279090,70,70,zero_shot,0.41097387464749857,17.248484323760902,10.9856824056653,0.5900406558226394,21.391075948938553,14.727101877461312,1.8113687509565437,1.7597841425785479
8g,row,536279090,70,70,column_mass_ratio_scaling,0.9275172579776764,6.050635159065364,3.177755377949148,0.9213911036137238,9.366947463259526,6.484467995132226,0.6815860125830849,0.675264204890196
8g,row,536279090,70,70,scale_only,0.9259522023680009,6.115609301159702,4.412738987896479,0.9617800515890944,6.531415056877196,4.497041195729263,0.6194463941832286,0.5911984251371623
8g,row,536279090,70,70,affine,0.8689005766253526,8.137369751722295,4.415408885005605,0.9609812243266188,6.599317965319903,4.879887637558168,0.7858075486143581,0.7216001360132444
8g,row,536279090,70,70,affine_condition_residual,0.8590124936566885,8.438669421970188,4.623308409116675,0.9594372497862578,6.728618903907229,5.0695422875724105,0.8130477834971332,0.7447403871544799
8g,row,536279090,70,70,target_head_only,0.9500106627129997,5.024841290610927,3.1036942504108813,0.9637572275484253,6.360231757781363,4.363426211260368,0.5306485639613928,0.5166602426281096
8g,row,536279090,100,100,zero_shot,0.41097387464749857,17.248484323760902,10.9856824056653,0.5900406558226394,21.391075948938553,14.727101877461312,1.8113687509565437,1.7597841425785479
8g,row,536279090,100,100,column_mass_ratio_scaling,0.9275172579776764,6.050635159065364,3.177755377949148,0.9213911036137238,9.366947463259526,6.484467995132226,0.6815860125830849,0.675264204890196
8g,row,536279090,100,100,scale_only,0.9366073312507468,5.658524194637293,3.9912950664631284,0.9622145014972041,6.494187343466844,4.468841822285818,0.582611794492895,0.5610364785677125
