column,protocol,seed,method,lambda_C,lambda_W,fold_scores,mean_cv_score,rank,selected
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,0.01,0.01,"[0.44267892191394664, 0.5369443887571739, 0.5189598594585445, 0.353859570734786, 0.4994966302710284]",0.4703878742270959,2,False
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,0.0,0.0,"[0.44020068720008626, 0.5365356293962091, 0.519933448106545, 0.3587137536452667, 0.5013042855239387]",0.47133756077440914,3,False
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,1.0,1.0,"[0.4509672216120876, 0.553855979905391, 0.5266522840741404, 0.3418569360834404, 0.4871187614389219]",0.4720902366227963,4,False
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,10.0,10.0,"[0.4634939414004439, 0.5730170116477042, 0.5414838974473879, 0.33792579458664906, 0.4720044317671572]",0.4775850153698685,5,False
pooled_25g_40g,compound,1425370602,HIER_CW_SHARED_LAMBDA_CORRECTED,100.0,100.0,"[0.4707303500698471, 0.5824809744376811, 0.5502137869608111, 0.3390222198299767, 0.4659867501638336]",0.48168681629242993,6,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.1,"[0.44604726302183206, 0.5412953906118714, 0.5195617364538861, 0.34705483642277524, 0.49394065506113666]",0.4695799763143003,1,True
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.01,"[0.44570283163152935, 0.540165195489212, 0.5205944068287466, 0.34810731303198206, 0.4935871639953404]",0.46963138219536205,2,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,0.0,"[0.44579071776840373, 0.5398752929439173, 0.5211785403102562, 0.3486545534599394, 0.4935996760611146]",0.46981975610872634,3,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,1.0,"[0.4468030939138331, 0.5434987411069899, 0.5190687200783949, 0.3461001790990413, 0.49388812197536774]",0.46987177123472534,4,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.01,"[0.44267892191394664, 0.5369443887571739, 0.5189598594585445, 0.353859570734786, 0.4994966302710284]",0.4703878742270959,5,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.1,"[0.4432467857105767, 0.5381868658734795, 0.5180941569715588, 0.3530047291351823, 0.49989377614086083]",0.47048526276633157,6,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,0.0,"[0.4426493389367725, 0.5365968803631929, 0.5194622878128695, 0.3543091393346311, 0.49950286256093035]",0.4705041018016793,7,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,10.0,"[0.4483131042139022, 0.5471760848218227, 0.5192128900869922, 0.3453955895881818, 0.4936311668740104]",0.4707457671169818,8,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.01,1.0,"[0.4440299649197786, 0.5403932504429253, 0.5176377112781372, 0.35208370875588646, 0.4998300690822056]",0.4707949408957866,9,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.1,100.0,"[0.4490155954831685, 0.5486555767207475, 0.5194876669376979, 0.34539071367088214, 0.49369895212645176]",0.4712497009877895,10,False
pooled_25g_40g,compound,1425370602,HIER_CW_SEPARATE_LAMBDA_LEGACY_OBJECTIVE,0.0,0.01,"[0.4403139738653289, 0.5369258192104159, 0.5195007905637151, 0.3583418687739531, 0.5013208090611944]",0.47128065229492144,11,False
