dataset,effective_group_id,canonical_smiles,PE/EA,rows,distinct_loading_conditions,ignored_loading_conditions_differ,V1_range,V2_range
4g,d383594dc35dff2d,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,20/1,3,3,True,1.1833333333333327,0.7416666666666689
4g,58f0659aa35baf3b,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,5/1,3,3,True,1.3250000000000002,0.5250000000000021
4g,c184d3f56fa1c361,C=CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,50/1,3,3,True,1.0999999999999996,2.458333333333334
4g,e8fbe02028e61aea,C=CCCc1ccccc1,0/1,3,3,True,0.43333333333333357,1.7000000000000002
4g,954df21877b6edcc,C=CCCc1ccccc1,1/1,3,3,True,1.291666666666667,1.7666666666666666
4g,e06027d9189bea46,C=CCCc1ccccc1,10/1,3,3,True,1.0916666666666668,0.7666666666666666
4g,58dad16a97886e65,C=CCCc1ccccc1,2/1,3,3,True,1.2250000000000005,0.9083333333333314
4g,04e81a47dcca3590,C=CCCc1ccccc1,20/1,3,3,True,1.0,0.9583333333333339
4g,b4f987c43830471c,C=CCCc1ccccc1,5/1,3,3,True,1.3666666666666671,0.625
4g,00d161c73fd5ea7d,C=CCCc1ccccc1,50/1,3,3,True,1.591666666666666,0.7750000000000004
4g,b77d5d367e84f644,CC(=O)CC(=O)OC(C)(C)C,0/1,6,3,True,2.4666666666666663,2.2
4g,b663e6081c0e2382,CC(=O)CC(=O)OC(C)(C)C,1/1,5,3,True,1.25,1.7375000000000007
4g,195bf1fbc4d57d38,CC(=O)CC(=O)OC(C)(C)C,10/1,4,3,True,3.3499999999999996,0.8208333333333329
4g,f6ae35bb8bc11666,CC(=O)CC(=O)OC(C)(C)C,2/1,6,3,True,3.8208333333333333,5.970833333333334
4g,24963a1bd111efeb,CC(=O)CC(=O)OC(C)(C)C,20/1,3,2,True,7.845833333333335,2.054166666666667
4g,af99024027896f2e,CC(=O)CC(=O)OC(C)(C)C,5/1,4,3,True,0.4708333333333332,0.9208333333333325
4g,04a5f236b01df5eb,CC(=O)CC(=O)OC(C)(C)C,50/1,2,2,True,8.274999999999999,1.3416666666666686
4g,d519ece1c32b7504,CC(=O)CC(=O)c1ccccc1,0/1,2,2,True,1.7416666666666671,0.125
4g,5901e3ce2ed47dc4,CC(=O)CC(=O)c1ccccc1,1/1,3,3,True,1.041666666666667,1.958333333333334
4g,6c5f2833d8e932b4,CC(=O)CC(=O)c1ccccc1,10/1,3,3,True,0.9833333333333334,2.033333333333335
4g,7eece15be71a1a90,CC(=O)CC(=O)c1ccccc1,2/1,3,3,True,0.9249999999999998,8.258333333333333
4g,5e82f85cf4eba0d2,CC(=O)CC(=O)c1ccccc1,20/1,2,2,True,0.13333333333333464,0.9499999999999957
4g,4e9cadfabd1120fb,CC(=O)CC(=O)c1ccccc1,5/1,3,3,True,1.125,2.7083333333333357
4g,85571487aa921bad,CC(=O)CC(=O)c1ccccc1,50/1,3,3,True,2.2499999999999982,1.05833333333333
4g,2b5d1002b46cd210,CC(=O)CCCCl,0/1,3,3,True,1.1333333333333337,1.2666666666666666
