outer_seed,strategy,round,member_seed,init_source_sha256,expected_source_sha256,source_reset_pass,checkpoint_sha256
42,pretrained_ensemble,6,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,fac80030a443138ae15de9c985ebe5d2fa11813246e8aae0ae8fe8a80b5a5cdb
42,pretrained_ensemble,7,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,d6175c8a9b0ecdb3f4e6c56487ad34895f3e0986429a5cad9d2d166c084987da
42,pretrained_ensemble,7,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,a9de4781aaa9b852d829ac8f569b0a9022cd8a3cb8c652b67441cacd1a44dc5d
42,pretrained_ensemble,7,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,ec5e2deade4a1924b4749270fdf59eb2915449b80f5cf4fd1d8c5369765a74a3
42,pretrained_hybrid,1,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,36b9522e05e05f154feb4b43ff3366264b4cc0ec3f831cb7c0c447bc8cd8be24
42,pretrained_hybrid,1,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,9e14ad29b108e3275029dd725eb60d0893e976c64ee366b301e96a74ef95a457
42,pretrained_hybrid,1,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,9a340de7cf442687b6f6a0b356095fcf814440874ab769081e70d4ca14d914e5
42,pretrained_hybrid,2,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,2aa7383dd2d134b78f103abaa818412e6df13c261a10907df802223f80b26d21
42,pretrained_hybrid,2,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,f51bd7cb5563a58035abe8af2028e9c3b928bf01a6fd278f0f6f0f37904d1102
42,pretrained_hybrid,2,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,d8cf85a9a36ae5ccabfa72d9858d0bbae858b74307463358b293f790259127b2
42,pretrained_hybrid,3,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,5e6e3c0f4757e73e282c9c29ba7a1fba9a82eec9a88a55d9edd87ea79c665332
42,pretrained_hybrid,3,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,67be35214b075d43ba79ca9593fd9d797e8443bf9621bec811b164d584ffb6a1
42,pretrained_hybrid,3,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,a3befc34d4564051f8ccd8ad71509233cc4a5e6b813431dd40fed7dbe937385c
42,pretrained_hybrid,4,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,ea0fd2de8abb60d0b879e148671af9544f1776232671d087132e6828adeb32b8
42,pretrained_hybrid,4,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,dd8c14750481c012fab6f4c9931bcc1d4345511de902eb3b0bd6c4a475f11ba2
42,pretrained_hybrid,4,1101,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,23cdc24472d5458046eebaa20aa743228e55ee3d6f1c4c3730d4ff431ea08a60,True,be61a310fa282e66f0f0678303a141fe457276595191b18a10adbf68bf66ef51
42,pretrained_hybrid,5,42,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,7b9e3d0d4c8036c738ef220802e7ee46bc6ab8261cc541fb7d194e8c17044323,True,f007f452821579bc1ae8664020ac12f67e7cf2d011480ea45f00f34887b57cc6
42,pretrained_hybrid,5,525,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,719b2eb695e473c024c11eeb070a7835db78a3d5b01b6d50e8c3aa8f694d5916,True,12e97140915bcdde52b51c44b2a9d5d0b228d43fe1496951ef6bd573c8d4a460
