column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse,V1_macro_compound_mae,V1_macro_compound_rmse,V1_median_relative_absolute_error,V1_relative_excluded_rows,V1_median_absolute_error,V2_macro_compound_mae,V2_macro_compound_rmse,V2_median_relative_absolute_error,V2_relative_excluded_rows,V2_median_absolute_error
25g,row,1362771960,100,100,conditional_policy,0.8221009113460975,13.343864854688787,7.358971863091495,0.8664571408154844,19.317824335316807,11.492159463962548,1.4682784247065723,True,1.4475376036548622,8.106440539239248,8.75652117351257,0.15925133730852054,0,4.3471095876052805,12.361419595899113,13.210573634233384,0.158804111496551,0,7.229197712713324
25g,row,1362771960,100,100,target_head_only,0.4472368788996791,23.52146151859474,13.160408510204084,0.2705615899697862,45.14838205447393,27.43879102040816,2.8980631643833346,True,2.896715506150549,14.152805899717515,15.28731458732764,0.28189829918874454,0,6.476490999999999,30.12557439971752,31.963927999993853,0.38033411278113705,0,14.813331000000003
25g,row,1362771960,100,100,standard_shallow_finetune,0.8781710985132658,11.042564313122556,6.475609377551021,0.8426808003797258,20.96711810257159,11.638941163265306,1.3536773996398526,True,1.3528048217883977,6.603569134180792,7.157287770383006,0.15622413358777887,0,4.272346000000001,12.457564597457626,13.26185762998542,0.1353792917537914,0,5.903036499999999
25g,row,1362771960,100,100,packing_mass_physical_scale,0.7716936162086421,15.11658884120564,11.22247955251713,0.5262729441229035,36.38412809232627,33.64543905136537,2.0979026082729684,True,2.090808822526533,12.091654241623853,12.799078935699894,0.34667209750020433,0,8.917308843135835,33.97252701894712,34.478349441932316,0.7530183290061236,0,32.853158354759216
25g,row,1362771960,100,100,physics_scale_residual,0.8330396456412501,12.92711023067511,7.780449986975233,0.8429773036656789,20.947350167569397,11.54513241378679,1.481420663626387,True,1.4717729747052612,8.470801007403853,9.018280141079952,0.17656336020510544,0,4.8620071471649755,12.175643900550101,12.972152452772045,0.1423089459937285,0,6.380611309038173
25g,row,1362771960,100,100,raw_column_conditioned,0.5254668575214245,21.793553460149727,12.038829316326533,0.44631194398515217,39.335117783207444,19.720014806122453,2.6111496499809372,True,2.6062719749508387,12.820741922316385,14.026474598291825,0.2658579181350099,0,5.89275125,21.92071278813559,23.9214621064606,0.197241319405996,0,8.075474000000002
25g,row,1362771960,100,100,mass_normalized_column_conditioned,0.826990725542732,13.15919933393398,8.074166664285714,0.9257952255495272,14.400043434312192,11.382797908163266,1.3400158558675996,True,1.2828704681297924,8.369381912994351,8.948267574979926,0.17619773532386007,0,5.064868500000001,11.736339196327682,12.181748266323844,0.20725664836480784,0,9.425090999999998
25g,compound,769539383,100,98,scale_only,0.8402436525540862,15.922717694130803,10.19846059154568,0.8437248513483409,25.358814326572677,16.160488072464247,1.812665853713799,True,1.7990599904698188,10.778211750162823,14.228442924340928,0.22898164135329727,0,6.989794469464755,17.84583653785597,22.539604074781543,0.2288109763779834,0,11.726621348461649
25g,compound,769539383,100,98,local_identity_shrinkage,0.8671051179507048,14.522529320137952,8.317859294465187,0.8722806333855699,22.925159271124357,13.666103731759542,1.647768745292306,True,1.6345219225443968,8.921404588299408,12.622727318488895,0.1578345680318194,0,4.865809842685756,15.876546040152423,20.46747195323276,0.15321269241776375,0,7.850479935371215
25g,compound,769539383,100,98,conditional_EA,0.8548833959773257,15.175628527378317,8.849217051912357,0.8662127085520879,23.46342538160967,14.20507219103208,1.708695681737694,True,1.6927047849382597,10.016876871225378,13.831425403583985,0.18648841484415637,0,5.492547440686479,16.669304093164044,21.414479882711035,0.1836746451256648,0,8.000383523261725
