column,protocol,seed,budget,actual_budget,method,target,n,rmse,mae,median_absolute_error
8g,row,2767143051,30,30,scale_only,width,115,6.0390866898201505,4.131069992673165,2.7654698378304623
8g,row,2767143051,30,30,local_identity_shrinkage,center,115,7.694518293430398,4.812976872175273,2.921999753032779
8g,row,2767143051,30,30,local_identity_shrinkage,width,115,6.777370498189389,4.5934016482782125,2.5737798982587847
8g,row,2767143051,30,30,conditional_EA,center,115,7.600309882164395,4.71832745568494,2.8849148063387595
8g,row,2767143051,30,30,conditional_EA,width,115,6.707956007755689,4.555022341159581,2.712872429362431
8g,row,2767143051,30,30,conditional_policy,center,115,7.607028303008005,4.65207209605997,2.6546088612387404
8g,row,2767143051,30,30,conditional_policy,width,115,6.0390866898201505,4.131069992673165,2.7654698378304623
8g,row,2767143051,30,30,target_head_only,center,115,8.984801741101077,4.849254166666667,2.216895666666666
8g,row,2767143051,30,30,target_head_only,width,115,4.93160447782627,3.4149258637681164,2.0141616666666664
8g,row,2767143051,30,30,standard_shallow_finetune,center,115,10.420196035640872,5.976364371304348,2.9720460000000006
8g,row,2767143051,30,30,standard_shallow_finetune,width,115,5.886269424754107,4.1302284991304345,3.1166166666666673
8g,row,2767143051,30,30,packing_mass_physical_scale,center,115,7.607119191020314,4.735573408154473,2.7979780832926444
8g,row,2767143051,30,30,packing_mass_physical_scale,width,115,9.851474514301026,7.08229364035786,4.724210993448892
8g,row,2767143051,30,30,physics_scale_residual,center,115,10.944390344005594,7.244738903008114,4.680909769054168
8g,row,2767143051,30,30,physics_scale_residual,width,115,8.36778878426371,5.543490338294864,2.9127338095781408
8g,row,2767143051,30,30,raw_column_conditioned,center,115,22.33009878880503,10.592431587971014,4.319518833333333
8g,row,2767143051,30,30,raw_column_conditioned,width,115,8.799149422774779,5.9126379660869555,3.844619333333334
8g,row,2767143051,30,30,mass_normalized_column_conditioned,center,115,11.678826600133457,7.115871690144927,4.015821166666665
8g,row,2767143051,30,30,mass_normalized_column_conditioned,width,115,7.181023110365773,4.858925367536233,3.241599599999999
8g,row,2767143051,50,50,scale_only,center,115,7.674363876746785,4.615616710852538,2.5302116199615767
8g,row,2767143051,50,50,scale_only,width,115,5.863321970330056,4.017555660067487,2.977911063145717
8g,row,2767143051,50,50,local_identity_shrinkage,center,115,7.639154256247222,4.6470142775539705,2.719462478957407
8g,row,2767143051,50,50,local_identity_shrinkage,width,115,6.807075791103859,4.603446386992949,2.6132512857400787
8g,row,2767143051,50,50,conditional_EA,center,115,7.556354570160465,4.5787496318406165,2.6526637415699525
8g,row,2767143051,50,50,conditional_EA,width,115,6.64527769164908,4.513428254829103,2.7049565173670693
8g,row,2767143051,50,50,conditional_policy,center,115,7.556354570160465,4.5787496318406165,2.6526637415699525
8g,row,2767143051,50,50,conditional_policy,width,115,6.64527769164908,4.513428254829103,2.7049565173670693
