column,protocol,seed,method,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite,Center_rmse,Width_rmse,Var_eC,Var_eW,Cov_eC_eW
25g,row,1362771960,HIER_CW_25G_40G,5.32146860395472,3.740203263107443,0.6796913428027285,8.623942411688782,6.126357676485225,0.7096301671295505,0.6098548980347139,0.6098548980347139,0.605886882459308,0.605886882459308,True,6.5724172076253575,5.7091286411886975,42.59091053261877,32.58590388945939,22.95650166425924
25g,row,1362771960,HIER_CW_8G_25G_40G,5.275336999599804,3.735251696028555,0.6852207579055043,8.50633662850174,6.1228529427462135,0.7174957862915505,0.6033977860865536,0.6033977860865536,0.5993019333323374,0.5993019333323374,True,6.483945861076095,5.675180250530441,41.89534719998806,32.08486940133688,22.398285226108705
25g,row,1362771960,M3_LATENT_RESIDUAL_RIDGE,5.509107748645684,4.017801601625831,0.6567044282540396,8.781735485994256,6.0578302060600855,0.6989071085342174,0.6273769541673564,0.6273769541673564,0.6227010010923195,0.6227010010923195,True,6.749573872122987,5.7193795855264105,45.410127905706396,32.56646895909955,23.238580998115083
25g,row,1362771960,M3_LATENT_TINY_ADAPTER,5.472164878449348,4.003634071607669,0.6612931209715278,9.108411119617609,6.605020871656729,0.676089483408534,0.6337516349426099,0.6337516349426099,0.6305168387528091,0.6305168387528091,True,6.90608181056068,5.9194272750991885,47.64487429237195,35.03709995350756,26.52040336078074
40g,compound,769539383,M3_CENTER_WIDTH_FULL,15.156937699305594,10.116345651973575,0.6732199136313937,18.52754301634526,13.010985307542283,0.739438710910306,1.585594442079063,1.585594442079063,1.5380065155725562,1.5380065155725562,True,15.507935699523907,13.565431900387031,237.34564989459867,159.54583911806884,47.98749428485494
40g,compound,769539383,HIER_CW_25G_40G,15.336269440871513,10.478245370601936,0.6654414661770707,17.431884595026197,12.546774991222891,0.769344976436604,1.575412815328063,1.575412815328063,1.5153095479297451,1.5153095479297451,True,15.499948255911132,10.823582496149404,239.0237221946075,116.22443172473284,33.27008714649255
40g,compound,769539383,HIER_CW_8G_25G_40G,15.224296397629727,10.343912428104156,0.6703089837159757,17.528229211381205,12.561996937249601,0.7667883073335819,1.5687207352725696,1.5687207352725696,1.5112007926989972,1.5112007926989972,True,15.458078908753794,11.055642269093285,238.58054803488838,122.21218743005537,37.65504855158799
40g,compound,769539383,M3_LATENT_RESIDUAL_RIDGE,14.907731748693111,10.368019286604408,0.6838772210568194,17.059873082586098,12.35742511492611,0.7790846845070649,1.5338612890064833,1.5338612890064833,1.4765468597491727,1.4765468597491727,True,15.134392377755477,10.50524347144909,228.10580329019555,109.89227168343352,33.73481040040504
40g,compound,769539383,M3_LATENT_TINY_ADAPTER,15.178820906871417,10.551473372567884,0.6722756386313549,16.421792967498764,12.101106820036605,0.7953011612910633,1.5417785612381283,1.5417785612381283,1.4739035854569125,1.4739035854569125,True,14.811852541481798,11.071579559310145,219.35150372008906,122.55156624720492,19.605913123432153
40g,compound,1425370602,M3_CENTER_WIDTH_FULL,15.050277689026318,9.822366270887349,0.689811582987444,19.880385896030077,13.439798185824753,0.6889730757755441,1.608938914649534,1.608938914649534,1.5733135986601008,1.5733135986601008,True,16.66307778907596,11.525994888275985,274.2673942773888,118.95273535347677,77.4952236683344
40g,compound,1425370602,HIER_CW_25G_40G,14.690024508107854,9.54907873760953,0.7044835976270961,19.718518213731393,12.645458893907737,0.6940172686074895,1.577974826617794,1.577974826617794,1.545419613296714,1.545419613296714,True,16.703838961483076,9.651974771179825,278.54724490908694,93.09760086618336,86.33929130853524
40g,compound,1425370602,HIER_CW_8G_25G_40G,14.67588378945108,9.531630207259155,0.7050522560421195,19.6105084816748,12.596419615869875,0.697360176823911,1.5743070195215456,1.5743070195215456,1.5411630799981106,1.5411630799981106,True,16.623689004900513,9.722091919747713,276.29855400723903,94.48816406524034,84.63394874891318
40g,compound,1425370602,M3_LATENT_RESIDUAL_RIDGE,15.128841316204753,9.125016209556064,0.686564714979641,19.052490149107165,12.161019249960054,0.7143384050170942,1.5954378009383936,1.5954378009383936,1.5525501999476132,1.5525501999476132,True,16.453440062865255,10.044684230789022,269.77094252424,97.78124077604238,68.77310138613609
40g,compound,1425370602,M3_LATENT_TINY_ADAPTER,15.437801446593157,10.40468141979725,0.6736320885921495,19.44773205380481,12.688637335617809,0.7023634308616153,1.62816189175902,1.62816189175902,1.5844476459638495,1.5844476459638495,True,16.72584688536453,10.680083096652757,278.4189580231398,113.57844390128169,70.74954758550561
40g,compound,536279090,M3_CENTER_WIDTH_FULL,19.645757803624257,12.057693532239956,0.5652036183522395,24.496485592806366,16.782574894498534,0.6171191018308746,2.0661514432199803,2.0661514432199803,2.0084841960974473,2.0084841960974473,True,21.061238362956693,14.062864808756144,435.41146091317563,141.87236889194173,85.69941562798306
40g,compound,536279090,HIER_CW_25G_40G,19.02532257418249,10.831782330803541,0.5922326884854631,23.15436116715314,14.717636927643111,0.6579246802093234,1.987975163262864,1.987975163262864,1.9273729895235925,1.9273729895235925,True,20.54220812422635,10.404106004131735,421.9553479334796,107.01115713015909,86.89833190212128
40g,compound,536279090,HIER_CW_8G_25G_40G,19.041092377005032,10.902871985224651,0.5915564239848288,23.27838631216951,14.941414222809684,0.6542502478185889,1.9919890422864517,1.9919890422864517,1.9322309953975605,1.9322309953975605,True,20.587558118936123,10.653766433247391,423.3806245402538,109.42926060213111,88.28090212454181
40g,compound,536279090,M3_LATENT_RESIDUAL_RIDGE,18.79189770212071,10.592647617943747,0.6021772372689249,22.70730693137148,14.185772151570609,0.6710064407834551,1.9599219292507506,1.9599219292507506,1.8986571675061854,1.8986571675061854,True,20.23254317872621,10.00455899722121,408.73233977806456,94.81693400035743,79.42981356020009
40g,compound,536279090,M3_LATENT_TINY_ADAPTER,19.079830924733233,10.87041214809789,0.5898928002946593,23.27464801006508,14.381909870227728,0.6543612875810085,1.9948874311110423,1.9948874311110423,1.934572865463946,1.934572865463946,True,20.576856156541222,10.856810722754293,420.13064199067156,110.14493729604834,83.8036168462492
