protocol,outer_seed,inner_fold,arm,column,inner_train_count,inner_validation_count,inner_train_ids_sha256,inner_validation_ids_sha256,best_epoch,epochs_run
row,2767143051,3,A1,40g,284,75,aee594a07640456c5d87b0ad1646e294762c34fae0a5ac1c8f1cf221789a9614,49352994a86cc4fdee6b4ce6ad1588f8fe2d807370fa55928bb5c7fcee58e5fc,415,495
row,2767143051,3,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,94,174
row,2767143051,3,A2,25g,259,61,329d1683554966ebd270f5c1df39f63ef261667a0aef2bc314ba5b07abda9a07,f33466c360fa880e1b781967be0de8920b42f02d770b1c1bad5d57cdcf7bf4a6,94,174
row,2767143051,3,A2,40g,284,75,aee594a07640456c5d87b0ad1646e294762c34fae0a5ac1c8f1cf221789a9614,49352994a86cc4fdee6b4ce6ad1588f8fe2d807370fa55928bb5c7fcee58e5fc,94,174
row,2767143051,4,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,101,181
row,2767143051,4,A1,25g,252,68,228d5e51c3c58ba16fc2b0b68140cde8f4907ac6838cc5d8540edd579873871f,5feb488249322d6777ff30b339e72c68a88075a43503bddb30fd3029ec7cfea9,101,181
row,2767143051,4,A1,40g,291,68,a5b95670b8e9ac0677738b5d86b560528e50d12f52e4e3c9102e3db26a61d947,7a216361a8fd3a84424a47ad1d60a75bf5018db938cdb96cd82374d79a04d7ef,101,181
row,2767143051,4,A2,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,113,193
row,2767143051,4,A2,25g,252,68,228d5e51c3c58ba16fc2b0b68140cde8f4907ac6838cc5d8540edd579873871f,5feb488249322d6777ff30b339e72c68a88075a43503bddb30fd3029ec7cfea9,113,193
row,2767143051,4,A2,40g,291,68,a5b95670b8e9ac0677738b5d86b560528e50d12f52e4e3c9102e3db26a61d947,7a216361a8fd3a84424a47ad1d60a75bf5018db938cdb96cd82374d79a04d7ef,113,193
row,2767143051,5,A1,4g,3330,416,5f0fbc143e13c77d15714729b0b2b4438de33b5c0ad776201ee6f4f0b5283d77,9827fcc7b736b9984f545771e97efee5e6503c32214cff5b868697d4c293db3d,310,390
row,2767143051,5,A1,25g,254,66,3e270a058474d4deb8b89be59e38abfc30b0688a6743655ad891910c50085c16,950d7202eed01e977dd5b5f3a7c3d23d11d293d266e64edfd58151cf11538e4e,310,390
row,2767143051,5,A1,40g,290,69,41e19ba9d897aebc29a1e428a938a8ac0e4c62d50aa17395d24e86d2d8c8a3d9,23db17c7c8d33d1630f593b0bffaa23a6a7970d5ddd5f7895d4e3194c5762538,310,390
