protocol,outer_seed,inner_fold,method,column,endpoint,threshold,tail_count,tail_sse,total_sse,tail_rmse,tail_sse_fraction
compound,1425370602,1,A2_ADAM_FROZEN,40g,V2,109.29500000000002,10,13988.05314216702,22782.09294118499,37.40060580012979,0.6139933314414545
compound,1425370602,2,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,3171.3061579601276,4732.393201351065,6.59109627520664,0.6701273590399762
compound,1425370602,2,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,7102.604017973386,11615.900230359,9.73146375969781,0.6114553221979485
compound,1425370602,2,A2_ADAM_FROZEN,25g,V1,34.11,8,847.8874827546134,4429.909995446388,10.294947078267407,0.1914006116661913
compound,1425370602,2,A2_ADAM_FROZEN,25g,V2,56.35000000000002,10,4759.827535313474,7334.836643358042,21.817028980393903,0.6489343616975667
compound,1425370602,2,A2_ADAM_FROZEN,40g,V1,72.255,19,18167.407446315483,22192.651640646454,30.922149654895637,0.8186226567464958
compound,1425370602,2,A2_ADAM_FROZEN,40g,V2,109.29500000000002,18,27288.974700958275,35064.57438649594,38.936540037004285,0.7782491354427448
compound,1425370602,3,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,3296.5056298818413,5702.112678865578,6.719941321785809,0.5781200434884555
compound,1425370602,3,A2_ADAM_FROZEN,4g,V2,22.503333333333337,75,5749.757007834023,11606.134746575131,8.755765344681201,0.495406708036948
compound,1425370602,3,A2_ADAM_FROZEN,25g,V1,34.11,12,733.3792728799428,1987.397648307014,7.817604454477209,0.3690148639879291
compound,1425370602,3,A2_ADAM_FROZEN,25g,V2,56.35000000000002,12,2361.452948190115,4275.420275203495,14.028105562851657,0.5523323547596073
compound,1425370602,3,A2_ADAM_FROZEN,40g,V1,72.255,19,15689.90466642206,25060.4684831954,28.73646561648591,0.6260818578448808
compound,1425370602,3,A2_ADAM_FROZEN,40g,V2,109.29500000000002,21,23523.857119151835,35059.170674638066,33.4691450793199,0.6709758578564746
compound,1425370602,4,A2_ADAM_FROZEN,4g,V1,9.958333333333334,73,3109.028008622784,4364.5118099612655,6.526057368400509,0.7123426729026027
