outer_seed,strategy,selection_origin,query_rank,sample_id,canonical_smiles
1101,transfer_shift_uncertainty,D43_new,6,9c7a6ce4172638d2abc7,CCOC(=O)CC(C)=O
1101,transfer_shift_uncertainty,D43_new,7,bd0519702a5756bc3c94,CCOC(=O)C(Cc1ccccc1)C(C)=O
1101,transfer_shift_uncertainty,D43_new,8,4e6d2ab0e823ac1d4b58,CC(=O)CC(=O)OC(C)(C)C
1101,transfer_shift_uncertainty,D43_new,9,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,transfer_shift_uncertainty,D43_new,10,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
1101,transfer_shift_uncertainty_representative,D43_new,1,1254297404cc9db52ee2,CC(=O)c1ccc(Br)cc1
1101,transfer_shift_uncertainty_representative,D43_new,2,3545611fd9950a160288,C/C(=N\O)c1ccccc1
1101,transfer_shift_uncertainty_representative,D43_new,3,e79c5aedcfa41a5f23c9,O=Cc1cc(Br)ccc1O
1101,transfer_shift_uncertainty_representative,D43_new,4,25ffb25df5bec65a633b,CC(=O)CC(=O)c1ccccc1
1101,transfer_shift_uncertainty_representative,D43_new,5,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,transfer_shift_uncertainty_representative,D43_new,6,74097878150c8a5a8d79,COCCOC(=O)CC(C)=O
1101,transfer_shift_uncertainty_representative,D43_new,7,b2b26956a788c2a8c7e9,O=C(/C=C/c1ccccc1)c1ccccc1
1101,transfer_shift_uncertainty_representative,D43_new,8,f95928e2618ed15e654f,COc1ccc(C=O)cc1
1101,transfer_shift_uncertainty_representative,D43_new,9,d67e364fd6830aa2bf6f,C=CC(=O)OCC(CC)CCCC
1101,transfer_shift_uncertainty_representative,D43_new,10,bc8e1d805b36b63cbfbe,CC(=O)c1ccc(Br)cc1
1101,pretrained_random,historical_E4_round1,1,2e684264400b651dae88,C1=Cc2ccccc2C1
1101,pretrained_random,historical_E4_round1,2,ec581cec37da9563e756,COc1ccc(CO)cc1
1101,pretrained_random,historical_E4_round1,3,b95bbdf393e00f41a6df,CC(C)COC(=O)c1ccccc1
1101,pretrained_random,historical_E4_round1,4,c72867f0f2e38c70aa8c,CCOC(=O)/C=C/c1ccccc1
1101,pretrained_random,historical_E4_round1,5,f40ca479a9e86b5d5458,COC(=O)c1ccc(C(C)(C)C)cc1
1101,pretrained_random,historical_E4_round1,6,851993fe56d61c8bf074,CC(=O)CC(=O)OC(C)(C)C
1101,pretrained_random,historical_E4_round1,7,dd7fdbe3fa3800e6499f,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1
1101,pretrained_random,historical_E4_round1,8,b71b23379d73c3637a76,CC(=O)c1ccc(C)cc1
1101,pretrained_random,historical_E4_round1,9,d67e364fd6830aa2bf6f,C=CC(=O)OCC(CC)CCCC
1101,pretrained_random,historical_E4_round1,10,bbabdb9085edbb8c178b,CC(C)(CCl)c1ccccc1
1101,pretrained_coverage,historical_E4_round1,1,7ba2cf5e6ca289d9810f,CCOC(=O)c1cccnc1
1101,pretrained_coverage,historical_E4_round1,2,118d66c0e53f510c51ed,CC(=O)c1ccc2c(c1)Cc1ccccc1-2
1101,pretrained_coverage,historical_E4_round1,3,fb1fdaa4bc60434648f7,O=Cc1ccc2ccccc2c1Br
1101,pretrained_coverage,historical_E4_round1,4,f5634113e0822bda1c03,CC(=O)c1ccc2c(c1)OCO2
1101,pretrained_coverage,historical_E4_round1,5,d31d42caff135d7154c4,CCOC(=O)/C=C(/C)N
1101,pretrained_coverage,historical_E4_round1,6,3d5dc8831f4c74f7b7d1,COc1ccc(CCO)cc1
1101,pretrained_coverage,historical_E4_round1,7,07e9bc7a9d27fdd58c2f,O=C(c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
