outer_seed,method,round,active_label_count,V1_RMSE,V2_RMSE,V1_MAE,V2_MAE,V1_R2,V2_R2
2357,lcmd,21,1005,2.886799821241317,4.259682139881963,1.6475488659289244,2.3579980097800424,0.844479518229294,0.916060442282519
6101,random,0,333,5.636028801020688,10.574190925603304,2.688104156681674,4.8925266368783635,0.47583232029145683,0.47414750944233575
6101,random,1,365,5.313709956911821,9.927155363147355,2.804284379922515,4.797471029295338,0.5340712367028663,0.5365325084155238
6101,random,2,397,4.963774032969938,9.716541863625705,2.5210409713306015,4.695180796890807,0.5934182911993655,0.5559896516417827
6101,random,3,429,4.88611109016159,9.412441689329764,2.467882149511104,4.516123400031805,0.6060414730724073,0.5833472646981757
6101,random,4,461,4.850930074205676,9.014759353327177,2.379714671942256,4.092384426427974,0.6116942157241578,0.6178112356117302
6101,random,5,493,4.711188791697083,8.972655903697918,2.2807012987937285,4.223979027151204,0.6337439161852771,0.6213729253146218
6101,random,6,525,4.506829942060709,8.735381946163981,2.3616309691962005,4.037884178207361,0.6648292021496447,0.6411330716014716
6101,random,7,557,4.7363590724937366,9.085558171616933,2.3371664071254594,4.081567752847283,0.6298198981696788,0.6117845041277846
6101,random,8,589,5.028055414451231,9.150239719516232,2.8178928235737826,4.8773739915385805,0.5828195559151169,0.6062372914795813
6101,random,9,621,4.630683663264027,8.623414420075544,2.2094307083020106,3.8391708653036067,0.6461541885222013,0.6502738110745812
