column,protocol,seed,fold,method,selected_penalty,free_coefficients,fit_center_scale,fit_width_scale,fit_center_scale_expected,projection_frequency,raw_v2_lt_v1_rate,extra_coefficient,extra_coefficient_std,extra_coefficient_positive_fraction
40g,compound,769539383,0,CENTER_CONDITIONED_WIDTH,0.1,7,3.1711724403628594,3.6768200061234984,3.1711724403628594,0.0,0.0,-0.014088453293227398,,
40g,compound,769539383,1,M3_CENTER_WIDTH,0.1,6,3.079820428011661,3.4565182755799557,3.079820428011661,0.0,0.0,,,
40g,compound,769539383,1,CENTER_MAGNITUDE,0.1,7,3.079820428011661,3.4565182755799557,3.079820428011661,0.0,0.0,-0.0036164527655017592,,
40g,compound,769539383,1,CENTER_CONDITIONED_WIDTH,0.1,7,3.079820428011661,3.4565182755799557,3.079820428011661,0.0,0.0,-0.007739371595426753,,
40g,compound,769539383,2,M3_CENTER_WIDTH,0.1,6,3.2833049749657124,3.6937227741966634,3.2833049749657124,0.0,0.0,,,
40g,compound,769539383,2,CENTER_MAGNITUDE,0.1,7,3.2833049749657124,3.6937227741966634,3.2833049749657124,0.0,0.0,-0.009499763590975223,,
40g,compound,769539383,2,CENTER_CONDITIONED_WIDTH,0.0,7,3.2833049749657124,3.6937227741966634,3.2833049749657124,0.0,0.0,0.0204928919996406,,
40g,compound,769539383,3,M3_CENTER_WIDTH,0.1,6,3.143368819132894,3.41614972021155,3.143368819132894,0.0,0.0,,,
40g,compound,769539383,3,CENTER_MAGNITUDE,0.0,7,3.143368819132894,3.41614972021155,3.143368819132894,0.0,0.0,0.03725607037873738,,
40g,compound,769539383,3,CENTER_CONDITIONED_WIDTH,0.1,7,3.143368819132894,3.41614972021155,3.143368819132894,0.0,0.0,-0.002127487035644097,,
40g,compound,769539383,4,M3_CENTER_WIDTH,0.1,6,3.3402680495481154,3.791039725961346,3.3402680495481154,0.0,0.0,,,
40g,compound,769539383,4,CENTER_MAGNITUDE,0.1,7,3.3402680495481154,3.791039725961346,3.3402680495481154,0.0,0.0,-0.011535012849149867,,
40g,compound,769539383,4,CENTER_CONDITIONED_WIDTH,0.0,7,3.3402680495481154,3.791039725961346,3.3402680495481154,0.0,0.0,0.02398881728583496,,
40g,compound,1425370602,0,M3_CENTER_WIDTH,0.1,6,3.3620812442186496,3.903678930250865,3.3620812442186496,0.0,0.0,,,
40g,compound,1425370602,0,CENTER_MAGNITUDE,0.1,7,3.3620812442186496,3.903678930250865,3.3620812442186496,0.0,0.0,-0.01624510813210672,,
40g,compound,1425370602,0,CENTER_CONDITIONED_WIDTH,0.1,7,3.3620812442186496,3.903678930250865,3.3620812442186496,0.0,0.0,-0.013923584679653331,,
40g,compound,1425370602,1,M3_CENTER_WIDTH,0.1,6,3.2923244094474784,3.6689418708263672,3.2923244094474784,0.0,0.0,,,
40g,compound,1425370602,1,CENTER_MAGNITUDE,0.1,7,3.2923244094474784,3.6689418708263672,3.2923244094474784,0.0,0.0,-0.008294508853983307,,
40g,compound,1425370602,1,CENTER_CONDITIONED_WIDTH,0.0,7,3.2923244094474784,3.6689418708263672,3.2923244094474784,0.0,0.0,0.015815263762685532,,
40g,compound,1425370602,2,M3_CENTER_WIDTH,0.1,6,3.141452808036786,3.7227320416780287,3.141452808036786,0.0,0.0,,,
