column,protocol,seed,fold,method,selected_penalty,free_coefficients,projection_frequency,raw_v2_lt_v1_rate,V1_rmse,V1_mae,V1_r2,V2_rmse,V2_mae,V2_r2,combined_normalized_rmse,normalized_rmse,nrmse,combined_nrmse,all_outputs_finite
25g,compound,1425370602,4,M2_WIDTH,0.0,8,,,7.217754020389115,5.369311402679594,0.44617613276037105,9.782923900056952,7.379412820583226,0.6221757012880718,0.7776094524646852,0.7776094524646852,0.7622605736993925,0.7622605736993925,True
25g,compound,536279090,0,M2_WIDTH,0.0,8,,,5.582690821380349,4.0055924189479075,0.7486021876393284,8.17299129763348,5.6877310431620565,0.803958731281683,0.616609635755664,0.616609635755664,0.6084374573205966,0.6084374573205966,True
25g,compound,536279090,1,M2_WIDTH,0.0,8,,,11.854782032986344,5.768386793120761,-0.2522413589590007,14.57329770608627,8.152843071626235,0.29523948036337344,1.2420130703842645,1.2420130703842645,1.2054877207543262,1.2054877207543262,True
25g,compound,536279090,2,M2_WIDTH,0.0,8,,,7.485718255996768,5.0978826558345505,0.5373571809974855,9.321371255533357,6.452358170589235,0.7675491588909533,0.7869858416484485,0.7869858416484485,0.7649092389528147,0.7649092389528147,True
25g,compound,536279090,3,M2_WIDTH,0.0,8,,,8.18894755316362,5.651778318085521,0.39018124962911727,12.441145441605602,9.005182073712355,0.6234240713900331,0.9162205287967427,0.9162205287967427,0.9065612837152346,0.9065612837152346,True
25g,compound,536279090,4,M2_WIDTH,0.0,8,,,5.4089089905262115,4.416786018947675,0.6076520219340513,7.447256460089209,5.957388862374537,0.7041208211832034,0.585571924950381,0.585571924950381,0.5748389330002852,0.5748389330002852,True
25g,compound,2767143051,0,M2_WIDTH,0.0,8,,,6.781681425125479,4.594582881361054,0.5706073764265408,8.40291588506109,6.568961445373626,0.7370541366517183,0.7120138125795473,0.7120138125795473,0.6916697819484057,0.6916697819484057,True
25g,compound,2767143051,1,M2_WIDTH,0.0,8,,,8.092340659641652,5.573351869246745,0.3924440820172642,10.269065243787892,7.464210580164556,0.6057030557460821,0.8551982253414437,0.8551982253414437,0.8328766684044755,0.8328766684044755,True
25g,compound,2767143051,2,M2_WIDTH,0.0,8,,,10.900931093604246,5.045057838276618,-0.17502059405084158,12.755623329842486,6.4364392868337275,0.393823841611334,1.1276977708754854,1.1276977708754854,1.0884295681495346,1.0884295681495346,True
25g,compound,2767143051,3,M2_WIDTH,0.0,8,,,5.362034131492843,3.9404940725140127,0.6358813000253656,8.666484398617904,6.048168837225862,0.7272453773389689,0.6138697072069024,0.6138697072069024,0.6097840588124066,0.6097840588124066,True
25g,compound,2767143051,4,M2_WIDTH,0.0,8,,,7.296441140104796,5.10994621227036,0.4107023270585669,11.738067782832596,8.00500124008671,0.6577723851659757,0.8338310112236362,0.8338310112236362,0.8280611015850955,0.8280611015850955,True
25g,compound,1362771960,0,M2_WIDTH,0.0,8,,,5.8627212076752855,4.482242085227567,0.6106018033519764,7.590076794513786,5.848563983663108,0.7294838813528435,0.6230904790166519,0.6230904790166519,0.6080772654455585,0.6080772654455585,True
25g,compound,1362771960,1,M2_WIDTH,0.0,8,,,14.35608127685383,6.882191025651536,-1.00618065381367,15.908177775213131,9.9157501470062,0.37183903549597563,1.4660402876272627,1.4660402876272627,1.4057229461422098,1.4057229461422098,True
25g,compound,1362771960,2,M2_WIDTH,0.0,8,,,7.029204433809339,5.188736378346539,0.535292654659451,8.032368181085916,6.118527362722841,0.7718319471259308,0.7229876133534786,0.7229876133534786,0.6958517289075589,0.6958517289075589,True
25g,compound,1362771960,3,M2_WIDTH,0.0,8,,,6.815316438188788,4.986411144655077,0.43332988307819686,8.518190203779715,6.299227244029954,0.6965075608417752,0.717230854015223,0.717230854015223,0.6973892543188673,0.6973892543188673,True
