method,comparator,metric,statistic,n_pairs,directional_wins,ties,mean_difference,median_difference,sample_std_difference,bootstrap_low,bootstrap_high
hybrid,kernel_ivr,V1_RMSE,gap_closed,5,2,0,-0.06794452696530864,-0.008011269345876926,0.19030526988177474,-0.22614741523821297,0.06474475979725022
hybrid,lcmd,V1_RMSE,gap_closed,5,3,0,-0.045297790055417606,0.037095914777869,0.13833460478900603,-0.16878206152668873,0.049390210677481214
hybrid,random,V1_RMSE,gap_closed,5,5,0,0.37086540948323804,0.3312927709596436,0.18534829673801914,0.23491019159577603,0.528399308911724
kernel_ivr,lcmd,V1_RMSE,gap_closed,5,3,0,0.02264673690989103,0.05541964318723347,0.12829191121804465,-0.07950711044521919,0.12030305622899318
kernel_ivr,random,V1_RMSE,gap_closed,5,5,0,0.4388099364485466,0.4730160891422842,0.08543899238477884,0.3632635287632701,0.4950283379284164
lcmd,random,V1_RMSE,gap_closed,5,5,0,0.4161631995386556,0.41759644595505074,0.11458125776388918,0.32142768652045517,0.5104153046492692
hybrid,kernel_ivr,V2_MAE,aulc,5,5,0,-0.20720137927144763,-0.28197647059931663,0.1378616589497003,-0.3081641749811861,-0.08992791036444911
hybrid,lcmd,V2_MAE,aulc,5,4,0,-0.0786447039141402,-0.11596859738858623,0.19355185358691654,-0.2033590892208787,0.09118056203168087
hybrid,random,V2_MAE,aulc,5,5,0,-0.9611967400899015,-0.7820284031727169,0.3225385789333717,-1.2296732461437512,-0.7226528128900261
kernel_ivr,lcmd,V2_MAE,aulc,5,0,0,0.12855667535730744,0.07448178032523467,0.109454916252483,0.04509471201782285,0.2130314597939739
kernel_ivr,random,V2_MAE,aulc,5,5,0,-0.7539953608184538,-0.6542970960483561,0.36235328440433384,-1.041585771800912,-0.48852833599971895
lcmd,random,V2_MAE,aulc,5,5,0,-0.8825520361757612,-0.9191712388113462,0.3151463047063178,-1.1218039904396815,-0.6489075881270658
hybrid,kernel_ivr,V2_MAE,endpoint,5,4,0,-0.07931373662514085,-0.19699791466875327,0.26949983321457854,-0.209687142863834,0.1620444847811326
hybrid,lcmd,V2_MAE,endpoint,5,4,0,-0.07455194196540962,-0.05012866575940933,0.0938468615830267,-0.1446311860347537,-0.006325584521396621
hybrid,random,V2_MAE,endpoint,5,5,0,-0.9697134471911607,-0.938633831284887,0.35829210381287724,-1.2464254126560204,-0.693001481726301
kernel_ivr,lcmd,V2_MAE,endpoint,5,1,0,0.004761794659731233,0.06009172535628737,0.26629516897433464,-0.22613139529880008,0.1710277298943316
kernel_ivr,random,V2_MAE,endpoint,5,5,0,-0.89039971056602,-1.1170471211989148,0.43959549288526845,-1.2103468497022452,-0.5116539765319091
lcmd,random,V2_MAE,endpoint,5,5,0,-0.8951615052257511,-0.8917190576914691,0.36068551571319885,-1.1575483761245398,-0.5990627796529866
hybrid,kernel_ivr,V2_MAE,gap_closed,5,4,0,0.03878334812727946,0.07476783545288723,0.09154867876402993,-0.043412669767043256,0.08452880548411797
hybrid,lcmd,V2_MAE,gap_closed,5,4,0,0.028624890522333014,0.019823606412247674,0.037645901455913226,0.000686966873189121,0.056562814171476905
hybrid,random,V2_MAE,gap_closed,5,5,0,0.36639131755956555,0.3079853861056423,0.13909822896239293,0.26094731834534723,0.4725016446170523
kernel_ivr,lcmd,V2_MAE,gap_closed,5,1,0,-0.010158457604946446,-0.024889376446755485,0.08957602385396997,-0.0680520076570305,0.06606678773317261
kernel_ivr,random,V2_MAE,gap_closed,5,5,0,0.3276079694322861,0.4149833715607869,0.1443517430168357,0.20297419822915744,0.4307540930437822
lcmd,random,V2_MAE,gap_closed,5,5,0,0.33776642703723253,0.3307026135995491,0.141063059801244,0.22762243596756532,0.44463321450934207
hybrid,kernel_ivr,V2_R2,aulc,5,4,0,0.01977420760932136,0.02501429049775472,0.017349098760156792,0.005561594907047484,0.031646628935129574
hybrid,lcmd,V2_R2,aulc,5,3,0,0.0007579482215754219,0.010574126642484694,0.02061445663628176,-0.01730821937051432,0.015242572863579062
hybrid,random,V2_R2,aulc,5,5,0,0.15624077665375208,0.12463520544927598,0.063050512831069,0.11143384903533467,0.20816720620105061
kernel_ivr,lcmd,V2_R2,aulc,5,1,0,-0.019016259387745937,-0.027491456423647254,0.02665421871626888,-0.037207184944754966,0.002411381165062876
