outer_seed,strategy,round,query_rank,sample_id,canonical_smiles
42,ensemble,2,16,1e971da91b3a8229f0e0,O=C(O)/C=C/c1ccccc1
42,ensemble,2,17,278eae367da048448147,CC(C)(C)OCl
42,ensemble,2,18,4508cb72ef4489429d15,CC(C)(C)OCl
42,ensemble,2,19,ec53cb944de53e46b911,CC(C)(C)OCl
42,ensemble,2,20,93f10a8edf06f7acae26,COC(=O)C#CC(=O)OC
42,ensemble,2,21,ffffcd6f3b9393846ab4,COC(=O)CC(=O)C1CC1
42,ensemble,2,22,13aa7f454204d054a196,O=C1c2ccccc2-c2ccccc21
42,ensemble,2,23,4003f255f44e82ee0975,O=C1c2ccccc2-c2ccccc21
42,ensemble,2,24,9948433906d4afa41345,O=C1c2ccccc2-c2ccccc21
42,ensemble,2,25,59e942d4a3b5dfc412a2,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,ensemble,3,1,822acada514c54d41f68,O=[N+]([O-])c1cccc(Br)c1
42,ensemble,3,2,bef8e35136c28810eb6b,O=[N+]([O-])c1cccc(Br)c1
42,ensemble,3,3,5bad82a6cffd60e7a6c9,COC(=O)CS
42,ensemble,3,4,fd1d673cc647d6745303,COC(=O)CS
42,ensemble,3,5,476cfe5a707e309dcbc1,O=[N+]([O-])c1cccc(Br)c1
42,ensemble,3,6,a4157c1e4630bc139965,O=[N+]([O-])c1cccc(Br)c1
42,ensemble,3,7,d6faa7e77464f5f9a34b,O=[N+]([O-])c1cccc(Br)c1
42,ensemble,3,8,2feb7d8e0a3566ddf97f,N#Cc1ccc(N)cc1
42,ensemble,3,9,36d971e3231c54486d05,N#Cc1ccc(N)cc1
42,ensemble,3,10,0ced19fd8372ed93361c,N#Cc1cccc(N)c1
42,ensemble,3,11,53a1acff30433cff819f,N#Cc1cccc(N)c1
42,ensemble,3,12,e12edd0198c0d750ecd5,N#Cc1cccc(N)c1
42,ensemble,3,13,0f06772820e6693753e3,c1ccc(-c2ccccn2)cc1
42,ensemble,3,14,35f2be5f5aa14265e8a4,c1ccc(-c2ccccn2)cc1
42,ensemble,3,15,449b809e4efaaf2af86a,c1ccc(-c2ccccn2)cc1
42,ensemble,3,16,0296d31e8c2e55602a19,CC(C)c1ccccc1O
42,ensemble,3,17,68a01853008546de06a1,CC(C)c1ccccc1O
42,ensemble,3,18,6b8fefaf0647d2239858,CC(C)c1ccccc1O
42,ensemble,3,19,0ac58929e586a4da4056,O=Cc1ccccc1[N+](=O)[O-]
42,ensemble,3,20,8ab554cd154e9749790b,O=Cc1ccccc1[N+](=O)[O-]
42,ensemble,3,21,1395836aef00d6a880b0,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,ensemble,3,22,a17bcdddcf0799baeee2,N#Cc1ccc(C(=O)c2ccccc2)cc1
42,ensemble,3,23,376ba323d8d487f80cee,COC(=O)CS
42,ensemble,3,24,8b0153f031bc52c2c1dd,COC(=O)CS
42,ensemble,3,25,a0fb13951a097b6a1516,COC(=O)CS
42,ensemble,4,1,d54c93a11164b4abac6e,CSc1ccc(C=O)cc1
42,ensemble,4,2,810b16f35a3a86f451ce,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,3,8a4623d640cc619f2639,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,4,b7cbf8a3f54b6d586198,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,5,f4331eb64b6774466836,CSc1ccc(C=O)cc1
42,ensemble,4,6,55200f8e501a16ffa0cf,CSc1ccc(C(C)=O)cc1
42,ensemble,4,7,690924276beda2d5e719,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,8,6d54149d618f026681ef,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,9,eed75e5b0d9c27fa754c,CCOC(=O)c1ccc(OC)cc1
42,ensemble,4,10,96710afeabc594baa359,CCOC(=O)c1cccnc1
42,ensemble,4,11,c76d0420b34df595c0c9,CCOC(=O)c1cccnc1
42,ensemble,4,12,a47a3987d45e7c542d38,COc1ccc(OC)cc1
42,ensemble,4,13,c6159dcb5802e62284d1,COc1ccc(OC)cc1
42,ensemble,4,14,22214579a593fa764fe8,C=CC(=O)OCCOC
42,ensemble,4,15,374b71ac526fe1051993,C=CC(=O)OCCOC
42,ensemble,4,16,5695d3c04943153386bb,C=CC(=O)OCCOC
42,ensemble,4,17,19229d505f75d05a0bcb,CC(C)(O)CCc1ccccc1
42,ensemble,4,18,4fb92bd1fab3ba235858,CC(C)(O)CCc1ccccc1
42,ensemble,4,19,bad24d96575f423fe4fd,CC(C)(O)CCc1ccccc1
42,ensemble,4,20,0cf0d36290765378ae8d,COc1ccc(C(=O)c2ccccc2)cc1
42,ensemble,4,21,2d63ab3869184cde52bf,COc1ccc(C(=O)c2ccccc2)cc1
42,ensemble,4,22,44fcf641ccfa3b10a97c,COc1ccc(C(=O)c2ccccc2)cc1
