strategy,outer_seed,round,labeled_total,train_labeled,validation_labeled,V1_mae,V1_rmse,V1_r2,V2_mae,V2_rmse,V2_r2,nrmse,test_rows
ensemble,1101,2,425,368,57,2.7624479148980625,5.136518549819836,0.5570189652909568,5.700928825393097,9.591648973463553,0.6646777772379953,0.5813769245554492,417
ensemble,1101,3,450,393,57,2.6361450381130336,4.813814443444536,0.6109314711324938,5.441416091077889,9.232289122392332,0.6893333913337576,0.5516956725770865,417
ensemble,1101,4,475,418,57,2.5646809529533967,5.009928589786768,0.5785845218812466,5.148045451234239,9.472085012625481,0.6729855392357419,0.5703358784958701,417
ensemble,1101,5,500,443,57,2.5257138002557245,5.00947960544881,0.5786600520879983,5.101961144163643,9.570043709441814,0.666186707720174,0.5730649051551895,417
ensemble,1101,6,525,468,57,2.4207957113961234,5.0427330762767335,0.573047685096951,4.282962326244961,9.113682850134474,0.6972643222249546,0.5622409362649234,417
ensemble,1101,7,550,493,57,2.2943411768578605,4.614639714415234,0.642461338245109,5.095316829156461,9.041574541894073,0.7020359164064836,0.5342508577867322,417
ensemble,1101,8,575,518,57,2.159126839096502,4.481818648424881,0.6627468845913023,4.02770304170869,8.148800486894158,0.7579733704093332,0.5010761937957683,417
hybrid,1101,0,375,318,57,2.7233181526716184,5.178535666594412,0.5497420859443946,5.445110886260688,9.6736545317422,0.6589194687402782,0.5862323815600332,417
hybrid,1101,1,400,343,57,2.5820711285052154,4.950167058949594,0.5885783674536926,4.543811966457685,8.840216649082928,0.7151595912114164,0.5489328956241222,417
hybrid,1101,2,425,368,57,2.425494508472659,4.9073907184665675,0.5956581573693094,4.532780460260695,8.714589754223727,0.7231977106138514,0.5428040269805847,417
hybrid,1101,3,450,393,57,2.2881292342758486,4.62517771614388,0.6408265215389974,4.269020512682605,8.252885941307932,0.7517510219189476,0.5126986636212356,417
hybrid,1101,4,475,418,57,2.144137045824461,4.432510404912175,0.6701268717261557,4.077703096289551,8.257345464253639,0.7514826621887498,0.5011400784420355,417
hybrid,1101,5,500,443,57,2.0386545916541303,4.018401547271382,0.7288846692676989,3.7479069873447357,7.517521381985383,0.7940199650696738,0.4552106156955616,417
hybrid,1101,6,525,468,57,1.9763297925654837,3.778983765785782,0.7602285531265414,3.485829808893795,7.157888002207259,0.8132564626846172,0.43057245998256943,417
hybrid,1101,7,550,493,57,1.9979029606667449,3.8596244622031413,0.749886282028807,3.323114192712602,7.181974169804026,0.8119975707114228,0.4361405220059949,417
hybrid,1101,8,575,518,57,1.9318386582543048,3.7984255509297253,0.7577550965039705,3.3043241511222177,7.081203351483101,0.8172363108488565,0.42959381326194157,417
random,1101,0,375,318,57,2.7233181526716184,5.178535666594412,0.5497420859443946,5.445110886260688,9.6736545317422,0.6589194687402782,0.5862323815600332,417
random,1101,1,400,343,57,2.884917086415249,5.348990340823618,0.5196132294031051,5.57915891403179,10.2844416956105,0.614488600800835,0.6137550486059431,417
random,1101,2,425,368,57,2.727597057867012,5.138708887394966,0.556641088769668,5.557595575519928,10.110865498200615,0.627391764418156,0.5961189018281976,417
random,1101,3,450,393,57,2.572811037398261,5.143865987709529,0.5557507508480297,5.7892420041802355,9.838235438670049,0.6472149227384816,0.5887606809495465,417
random,1101,4,475,418,57,2.6814049082313125,4.892267152964137,0.5981465133896124,5.385329286582222,9.314251247637982,0.6837928537714248,0.5587594973733623,417
random,1101,5,500,443,57,2.392298583809039,4.872609077550481,0.6013694751394449,5.2726135267213445,9.091589733561984,0.6987303086655692,0.5513023522558211,417
random,1101,6,525,468,57,2.424810886950992,4.888677992776668,0.5987359282437495,5.015244932750259,9.1170444095476,0.6970409544239302,0.5529930468922304,417
random,1101,7,550,493,57,2.591308507645826,5.366142974066786,0.5165273724373531,4.978232505988188,9.01533887723154,0.7037625944648378,0.5790866201434016,417
random,1101,8,575,518,57,2.3380175965390713,4.2960339760555915,0.6901276495650435,4.297585761210787,7.665087431572359,0.7858539789582384,0.4761993310149879,417
