column,protocol,seed,budget,actual_budget,method,V1_r2,V1_rmse,V1_mae,V2_r2,V2_rmse,V2_mae,combined_normalized_rmse,all_outputs_finite,normalized_rmse
40g,compound,769539383,30,28,local_identity_shrinkage,0.8367697585824644,27.771973863008427,17.73306539556457,0.8863219009209358,33.68754819567061,19.643226521053986,2.8994069398511715,True,2.8099831515140874
40g,compound,769539383,30,28,target_head_only,-0.11460969295407741,72.57179149343557,48.22323663541667,-0.22120695595056006,110.41437975608578,76.97873758333334,8.123872580819398,True,8.039036731110077
40g,compound,769539383,30,28,conditional_EA,0.8507784195405982,26.55352939918841,16.48497379846477,0.8902405605737714,33.1018253273056,19.23776312741506,2.7924601687970956,True,2.714450610083561
40g,compound,769539383,30,28,additive_EA_control,0.8469291290368358,26.893833575194506,16.868161093090333,0.8912451635662687,32.949990390886676,19.05684239514899,2.8151202397234045,True,2.7313221883769896
40g,compound,769539383,30,28,conditional_policy,0.8367697634313918,27.77197345051046,17.73306506678559,0.8863219001032541,33.68754831682714,19.6432267418792,2.8994069107563374,True,2.809983129107349
40g,compound,769539383,30,28,additive_policy,0.8367697634313918,27.77197345051046,17.73306506678559,0.8863219001032541,33.68754831682714,19.6432267418792,2.8994069107563374,True,2.809983129107349
40g,compound,769539383,50,49,scale_only,0.8337383467366741,28.028669572239554,22.24748731219294,0.866594251744736,36.493731635108944,27.233007429398594,2.9837741803243336,True,2.9135475476312624
40g,compound,769539383,50,49,affine,0.7161744453374086,36.62116735721369,24.130247171464816,0.8224930152445575,42.095795982003814,25.806749764409442,3.7720123529757896,True,3.63301175312004
40g,compound,769539383,50,49,local_identity_shrinkage,0.7161744403446177,36.62116767931617,24.130247469189328,0.8224930024885467,42.09579749454829,25.80675049430523,3.772012410814633,True,3.6330118206009656
40g,compound,769539383,50,49,target_head_only,-0.11335430012411063,72.53091091654132,47.88605966145834,-0.21810666831121717,110.27413576566197,76.72980673958332,8.117244659381642,True,8.032080906235556
40g,compound,769539383,50,49,conditional_EA,0.8629305267106842,25.44935666982115,16.902734623591623,0.7952038074312713,45.215979330059064,33.65641734057725,3.0283446612304767,True,3.0211515337232617
40g,compound,769539383,50,49,additive_EA_control,0.8557666060767131,26.10594074038051,17.292074502860995,0.796425569611134,45.08090403604584,33.78503688303976,3.069180856784511,True,3.0586137479465423
40g,compound,769539383,50,49,conditional_policy,0.7161744442838192,36.62116742518445,24.13024731894301,0.8224930101028416,42.09579659168299,25.806750015081168,3.772012371452928,True,3.633011776394894
40g,compound,769539383,50,49,additive_policy,0.7161744442838192,36.62116742518445,24.13024731894301,0.8224930101028416,42.09579659168299,25.806750015081168,3.772012371452928,True,3.633011776394894
40g,compound,769539383,70,69,scale_only,0.7860531115284856,31.795043518272543,27.517138054870895,0.8417860205963434,39.74233954825,31.565473417417802,3.346118255538235,True,3.253576866468997
40g,compound,769539383,70,69,affine,0.7635913324603095,33.42243858935783,22.578076542056095,0.8433647074755581,39.54356442916474,24.19469875363359,3.467090319716165,True,3.3506602829866594
40g,compound,769539383,70,69,local_identity_shrinkage,0.7635913299879693,33.422438764122234,22.57807670831463,0.8433647163789306,39.543563305308545,24.194698127914396,3.467090308485581,True,3.3506602591228867
40g,compound,769539383,70,69,target_head_only,-0.09008411214016343,71.76892503061174,48.03788556770834,-0.19983727688369246,109.44405553548073,76.77707612500001,8.040607391391488,True,7.957912899469706
40g,compound,769539383,70,69,conditional_EA,0.7908501584214322,31.436573740301416,21.237951694955196,0.8339222156337001,40.718031466696374,24.213444058975792,3.3415336829138718,True,3.2611756039748006
40g,compound,769539383,70,69,additive_EA_control,0.7832402598631534,32.00337255538742,22.000314873486303,0.8392975559363434,40.05366336415538,23.50730012869143,3.3692134480705076,True,3.276478854686289
40g,compound,769539383,70,69,conditional_policy,0.7635913332258404,33.422438535244105,22.578076571522434,0.8433647236690722,39.54356238508747,24.19469766817255,3.4670902704134714,True,3.3506602159794827
40g,compound,769539383,70,69,additive_policy,0.7635913332258404,33.422438535244105,22.578076571522434,0.8433647236690722,39.54356238508747,24.19469766817255,3.4670902704134714,True,3.3506602159794827
40g,compound,769539383,100,93,scale_only,0.8321979960712448,28.158207688609266,22.53807348469314,0.8713811723143571,35.833008774702876,25.665750879131565,2.978098550481326,True,2.9012180012718547
40g,compound,769539383,100,93,affine,0.8567674790112227,26.01520510949942,18.17372414413634,0.8941795271244439,32.50243148390958,20.121024703366317,2.737493383994974,True,2.661649584614189
40g,compound,769539383,100,93,local_identity_shrinkage,0.8567674769080943,26.015205300494163,18.173724306726744,0.8941795267690188,32.502431538493454,20.12102476705606,2.737493399865479,True,2.6616495984312976
40g,compound,769539383,100,93,target_head_only,-0.08294716766197885,71.53359825004765,47.952477989583336,-0.19761344453719154,109.34258422956368,76.70072087499999,8.021025456753438,True,7.939824463683313
40g,compound,769539383,100,93,conditional_EA,0.8635085504358995,25.3956398472718,16.878596642354598,0.8559456689716842,37.92225572235915,25.861632845607943,2.824141060765865,True,2.7908988296067525
