column,protocol,seed,method,normalized_aulc,actual_budget_aulc
8g,row,536279090,local_identity_shrinkage,0.7304559188933202,0.7304559188933202
8g,row,536279090,scale_only,0.6268265319081385,0.6268265319081385
8g,row,536279090,target_head_only,0.5382549520604002,0.5382549520604002
8g,row,769539383,additive_EA_control,0.8868769592200362,0.8868769592200362
8g,row,769539383,additive_policy,0.8868769592200362,0.8868769592200362
8g,row,769539383,affine,0.953310966571907,0.953310966571907
8g,row,769539383,conditional_EA,0.8904423110444626,0.8904423110444626
8g,row,769539383,conditional_policy,0.8909028598879664,0.8909028598879664
8g,row,769539383,local_identity_shrinkage,0.8909028525330681,0.8909028525330681
8g,row,769539383,scale_only,0.9552686559917961,0.9552686559917961
8g,row,769539383,target_head_only,0.7560289977317982,0.7560289977317982
8g,row,1362771960,additive_EA_control,0.7673634357123388,0.7673634357123388
8g,row,1362771960,additive_policy,0.768356757243974,0.768356757243974
8g,row,1362771960,affine,0.7736122531641931,0.7736122531641931
8g,row,1362771960,conditional_EA,0.7738217120198361,0.7738217120198361
8g,row,1362771960,conditional_policy,0.7738217120198361,0.7738217120198361
8g,row,1362771960,local_identity_shrinkage,0.7684543865850687,0.7684543865850687
8g,row,1362771960,scale_only,0.7184369684557849,0.7184369684557849
8g,row,1362771960,target_head_only,0.652608607388736,0.652608607388736
8g,row,1425370602,additive_EA_control,0.6423759757191267,0.6423759757191267
8g,row,1425370602,additive_policy,0.6314712291576486,0.6314712291576486
8g,row,1425370602,affine,0.6659249201979217,0.6659249201979217
8g,row,1425370602,conditional_EA,0.6035879510552173,0.6035879510552173
8g,row,1425370602,conditional_policy,0.6314712291576486,0.6314712291576486
8g,row,1425370602,local_identity_shrinkage,0.6354780554476148,0.6354780554476148
8g,row,1425370602,scale_only,0.6170142301382201,0.6170142301382201
8g,row,1425370602,target_head_only,0.6225396179850544,0.6225396179850544
8g,row,2767143051,additive_EA_control,0.7441755360667747,0.7441755360667747
8g,row,2767143051,additive_policy,0.7363698059468125,0.7363698059468125
8g,row,2767143051,affine,0.7549456063621418,0.7549456063621418
8g,row,2767143051,conditional_EA,0.7398556987093919,0.7398556987093919
8g,row,2767143051,conditional_policy,0.7380680814202123,0.7380680814202123
8g,row,2767143051,local_identity_shrinkage,0.745809931362563,0.745809931362563
8g,row,2767143051,scale_only,0.7307271322537541,0.7307271322537541
8g,row,2767143051,target_head_only,0.8254678107915714,0.8254678107915714
