column,protocol,seed,target,dimension,level,rows,compounds,ratio_defined_rows,ratio_median,ratio_q25,ratio_q75,ratio_mean,ratio_std,scale_rmse,scale_mae,scale_signed_mean,scale_signed_median,scale_r2,scale_nrmse,scale_sse,affine_rmse,affine_mae,affine_signed_mean,affine_signed_median,affine_r2,affine_nrmse,affine_sse
25g,compound,536279090,V2,loading_ul,200,12,3,12,4.3593008367938175,4.122397101170105,4.66326076993309,4.553927078740196,0.994017468196639,24.00959398181185,13.813316929014272,10.63513161189167,1.7288556225700233,0.8359664900546439,1.493458135412905,6917.527238057471,24.274208007478844,17.196381480764913,17.196381480764913,10.312019921147169,0.8323308802478819,1.509917804396733,7070.846092684201
25g,compound,536279090,V2,loading_ul,300,5,1,5,3.5594898861120194,3.2275789907731043,4.0294679450088084,3.2265747566386684,1.2906916389529326,51.31646633479897,27.52666229318711,-27.52666229318711,-7.762196131919424,-4.915870484572427,3.1920154162708805,13166.898585452778,54.72828120092683,28.59011308145723,-21.022690457480387,5.113223806087831,-5.728663178160375,3.4042390245585215,14975.923816038605
25g,compound,536279090,V2,amount_density_ul,96.71,7,1,7,3.1341222572408522,2.885093315523333,3.478152983182909,3.2994399700570805,0.5852492855684279,12.417379500216667,11.395234396049657,-11.005146371128784,-13.213112985969833,0.44001973034273334,0.7723927547111545,1079.3391955668078,4.457063980906984,3.844339946967902,1.9015122529283848,2.9582413519315125,0.9278542830351069,0.2772407758075318,139.05793530928887
25g,compound,536279090,V2,amount_density_ul,98.9,7,1,7,3.3930506078336458,3.3540671310844665,3.497566582823252,3.4224206298307354,0.1416028135101127,15.851936771790962,14.408867001490938,-14.408867001490938,-11.760322924556384,0.4720887793152825,0.9860309987672542,1758.987295918009,12.800398858863094,8.11379590317467,-6.049928685882518,-1.873043560143067,0.6557743449911636,0.7962175381549924,1146.9514766218851
25g,compound,536279090,V2,amount_density_ul,99.4,5,1,5,3.501797460294166,3.403666849726737,4.037004418277745,3.68524608966527,0.8125916437792946,15.97183379658347,13.718096578222468,-8.464347781605126,-8.089687511340312,0.8905605620635404,0.9934889002721201,1275.4973741284298,11.245848090075986,8.329872454796135,-2.4925464364410566,1.7530442620454068,0.9457438822664895,0.6995205055306076,632.3454963253286
25g,compound,536279090,V2,amount_density_ul,101.2,7,1,7,3.5827787949654244,3.1728155489007217,4.216535534765928,3.707634278781929,0.7874896075980706,13.617216695729686,11.1754586102226,-3.915955145974535,-6.04342787609351,0.9587256485739148,0.8470256961164677,1298.0001337692152,6.253188213263035,5.271350595378293,1.710366690910272,1.9750523590091582,0.9912962469251942,0.3889642955412036,273.71653981344224
25g,compound,536279090,V2,amount_density_ul,103.0,3,1,3,3.272104116625248,3.1950644944310156,3.3996913843991727,3.30580254701171,0.20669748971848595,11.920137618381608,11.41281376553549,-11.41281376553549,-9.108810509266231,0.6873526177757536,0.7414630382712537,426.269042523469,8.24372884372391,7.698561074659487,-0.20805824922311209,5.396299200901108,0.8504661019528166,0.5127810123371528,203.8771957465366
25g,compound,536279090,V2,amount_density_ul,109.89999999999999,7,1,7,4.217880969798432,3.881846160540989,5.481264761571234,4.746429407521555,1.1398050118695298,56.18516682696438,32.12232366956719,29.65672416128488,3.1334970138193654,0.7078175277657731,3.494861035585453,22097.41079961673,50.76521813916197,30.505859991200648,30.353381137415795,6.572341483497667,0.7614698268764886,3.157726369024625,18039.751609016897
25g,compound,536279090,V2,amount_density_ul,110.7,11,2,11,3.5296601189529384,2.8671333419776905,4.133253902170936,3.4260628539009317,0.8303726270789156,24.786865870226855,19.38722233935234,-19.00260080601787,-16.25908988808176,0.8703739784111901,1.5418064342662927,6758.275916354786,32.66752334621953,22.551288615581498,-20.519026515230962,-8.942122026463935,0.7748451123421924,2.0320034791992296,11738.83789733378
25g,compound,536279090,V2,amount_density_ul,114.39999999999999,6,1,6,4.045971134080179,2.9970884780110287,5.405156804370034,4.142578331761555,1.5758974516763287,34.18798747999071,28.240766434492844,7.144296942434522,-4.01142941602366,0.7733162905089258,2.126580235970055,7012.91092759201,28.258668779023576,22.610703035316334,10.883190035674934,3.0204732265321645,0.8451266699490154,1.7577614521903975,4791.314166975371
25g,compound,536279090,V2,amount_density_ul,119.19999999999999,7,1,7,3.7163307430129136,3.4550190798663225,4.952755952762712,4.16382968720422,0.8951406286379843,19.3820294296674,14.93145189046109,5.1230431764885775,-6.937752243220011,0.9017948331540624,1.205611788124238,2629.641453687453,16.046000333789266,12.008994370490598,11.752456464413777,7.172245135028575,0.9326915740708195,0.9981022485215453,1802.3188869837566
25g,compound,536279090,V2,amount_density_ul,149.0,7,1,7,3.0157961531038042,2.919133104082773,3.043971000337341,2.967311198161643,0.12636243168586997,17.502739520037967,16.655368170961673,-16.655368170961673,-18.546641905345467,-0.47241150610335825,1.0887151506191808,2144.4212349440922,14.745356658330483,12.545314840793411,-12.545314840793411,-14.812939931751409,-0.04502747031611665,0.9171988863131404,1521.9788008695978
25g,compound,536279090,V2,amount_density_ul,155.20000000000002,7,1,7,3.1718953558263303,3.054337669365814,3.3587174048244632,3.1828395767930675,0.27193224913248404,19.59458419223682,19.296393717727224,-19.296393717727224,-19.597661551639987,0.44625072766352814,1.2188332378339053,2687.6341076665994,16.219608779925533,13.936261809221177,-13.936261809221177,-14.931188669130194,0.6205786070407517,1.0089011377678612,1841.5299628168623
25g,compound,536279090,V2,amount_density_ul,206.0,3,1,3,3.492205675776986,3.4796976008926617,3.8099625790237743,3.6957048946852953,0.37434463379640287,5.9422221972077205,5.673920501178311,-5.673920501178311,-6.426465968280706,0.8603727537014876,0.36962141423856426,105.93001392296446,6.98843578844844,6.880173625806452,6.880173625806452,6.779975606622617,0.8068777304266541,0.4346985746604205,146.5147043078009
25g,compound,536279090,V2,amount_density_ul,215.20000000000002,4,1,4,4.55783365352587,4.408965711136214,4.780243429485115,4.631375487095459,0.49753398870575277,29.34565685258556,19.310651696249522,19.310651696249522,9.901555120542668,0.8641506113085344,1.8253748896682533,3444.6703044388073,24.64606128497316,19.030249875112588,19.030249875112588,11.795615566211744,0.9041780362778624,1.5330480290425366,2429.7133474506118
25g,compound,536279090,V2,amount_density_ul,222.00000000000003,5,1,5,4.531116562986066,4.208790711362262,4.835474045253263,5.006901662488926,1.2831924188691757,25.949670208677798,14.299086971927654,13.480146812247375,2.535976838676305,0.3969516638058467,1.614135837273629,3366.9269196957,29.982054769230835,21.91901147826185,21.91901147826185,15.149267858010347,0.1949715583213515,1.8649604672791742,4494.618040925788
25g,compound,536279090,V2,amount_density_ul,309.0,5,1,5,3.5594898861120194,3.2275789907731043,4.0294679450088084,3.2265747566386684,1.2906916389529326,51.31646633479897,27.52666229318711,-27.52666229318711,-7.762196131919424,-4.915870484572427,3.1920154162708805,13166.898585452778,54.72828120092683,28.59011308145723,-21.022690457480387,5.113223806087831,-5.728663178160375,3.4042390245585215,14975.923816038605
