mode,seed,split,left,right,left_bin,right_bin,n,mean_combined_error,mean_V1_abs_error,mean_V2_abs_error,mean_V1_width,mean_V2_width
compound,525,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",2,0.5094986271225193,4.906064000000001,4.891172249999999,4.276396999999999,6.941694
compound,525,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",13,0.5739339424437299,5.041088246153847,7.522557884615384,4.290718700000001,8.224573500000002
compound,525,validation,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",39,1.411252176031017,9.509085284615386,24.285660410256412,11.329517117948718,16.525563923076923
compound,525,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",26,0.1424914809285188,0.9201220192307692,2.095434215384615,2.403826576923077,3.258793334615384
compound,525,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",21,0.18983701763150496,1.298337719047619,2.6641046523809524,2.4583721047619047,3.80887859047619
compound,525,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",14,0.18017420628230618,1.6865055357142857,1.8439810357142856,3.7230500999999996,4.748641107142857
compound,525,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",16,1.194396018364673,9.661695925,17.686021999999998,4.8418069374999995,8.3484618125
compound,525,validation,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",47,1.0514222777245994,7.426668917021276,17.312031955319146,9.098655957446809,12.607246021276598
compound,525,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",7,0.09410624826258,0.5715097857142857,1.3830887142857144,2.687879842857143,3.1408240714285713
compound,525,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",15,0.15517027557236437,1.1656575800000002,1.8333692799999999,3.6035073266666675,3.90969042
compound,525,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",20,0.4372564279239966,2.8889291700000004,7.169552,4.6034185800000005,5.6354539
compound,525,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",15,0.3526180039020932,2.395915686666666,5.409480966666666,4.385751273333335,5.490671033333332
compound,525,validation,ea_fraction,V1_q50,"(0.167, 0.333]","(9.189, 63.756]",8,0.39741792323784464,3.237927625,4.786653249999999,7.0370285,8.608006625
compound,525,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(0.598, 4.724]",15,0.3210296238033649,3.0754216066666666,3.3085414533333335,4.59734586,5.379526846666666
compound,525,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(4.724, 5.346]",7,0.21789853850673066,1.0861239857142857,3.8443959857142853,2.8132880428571427,3.9382398142857147
compound,525,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(5.346, 6.172]",23,0.19736247066630438,1.0386353652173912,3.3089653478260868,4.199829056521739,4.535184065217392
compound,525,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(6.172, 9.189]",20,0.341442848662071,1.65576382,6.228072900000001,5.816792115,6.037150125
compound,525,validation,ea_fraction,V1_q50,"(0.333, 0.5]","(9.189, 63.756]",3,0.18891093059673006,1.1603906666666663,2.941413333333333,5.113656066666667,5.273973333333334
compound,525,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(0.598, 4.724]",34,0.1029488209752353,0.73098045,1.5091890117647058,3.1346547147058827,5.250866761764706
compound,525,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(4.724, 5.346]",16,0.10832858353861173,0.82758860625,1.4455176375,3.2383820187500003,6.26028029375
compound,525,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(5.346, 6.172]",14,0.15359250970380015,1.0128533642857143,2.614173378571429,3.262888121428572,6.086598964285715
compound,525,validation,ea_fraction,V1_q50,"(0.5, 1.0]","(6.172, 9.189]",3,0.06147575434798395,0.4395379333333332,0.7151233333333332,3.987323766666666,7.921264000000001
compound,1101,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(0.598, 4.724]",10,0.43105506351771306,3.72139891,6.063922549999998,3.3083911,5.3209617
compound,1101,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(4.724, 5.346]",18,0.1002338433200596,0.8555978777777776,1.2440446944444448,2.60529815,3.5799987499999997
compound,1101,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(5.346, 6.172]",13,0.17265127249552492,0.8953296615384616,3.2302186153846155,4.736204815384616,5.144154538461539
compound,1101,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(6.172, 9.189]",31,0.5016842499193248,3.565478999999999,8.281711677419354,5.512770887096775,6.712655064516129
compound,1101,test,ea_fraction,V1_q50,"(0.008900000000000002, 0.0476]","(9.189, 63.756]",34,1.33581698539672,10.68480180882353,20.60733044117647,10.281921014705881,13.926957617647059
compound,1101,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(0.598, 4.724]",9,0.17006098545866996,1.3388627555555557,2.7141700333333336,2.4004308333333335,3.7637524999999994
compound,1101,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(4.724, 5.346]",21,0.2494930185492894,1.832367342857143,4.166019761904762,1.8510214999999999,4.240919690476192
compound,1101,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(5.346, 6.172]",25,0.20075684015233972,1.269738088,3.4192258200000003,2.6826225640000003,4.535311664
compound,1101,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(6.172, 9.189]",47,0.20011108226526608,1.596012019148936,2.463607723404255,3.3317016829787227,5.937410425531916
compound,1101,test,ea_fraction,V1_q50,"(0.0476, 0.167]","(9.189, 63.756]",34,0.777217445932374,5.823470185294118,12.241924676470587,11.311953155882351,13.55013161764706
compound,1101,test,ea_fraction,V1_q50,"(0.167, 0.333]","(0.598, 4.724]",6,0.046808276488751854,0.40179898333333347,0.4987703333333335,1.6975297000000003,2.21146675
compound,1101,test,ea_fraction,V1_q50,"(0.167, 0.333]","(4.724, 5.346]",18,0.11023579088383129,0.6103538166666667,1.9639612388888894,1.8690215111111113,3.210984388888889
compound,1101,test,ea_fraction,V1_q50,"(0.167, 0.333]","(5.346, 6.172]",25,0.1939554740237462,1.1780082719999998,3.228157768,1.7239906200000001,3.5129145839999993
compound,1101,test,ea_fraction,V1_q50,"(0.167, 0.333]","(6.172, 9.189]",16,0.3113479440061619,2.32498313125,4.95467673125,4.0356539375,5.9719304375
compound,1101,test,ea_fraction,V1_q50,"(0.167, 0.333]","(9.189, 63.756]",11,0.9138612431647672,5.42261260909091,17.447925090909095,5.045569318181818,8.372997363636363
compound,1101,test,ea_fraction,V1_q50,"(0.333, 0.5]","(0.598, 4.724]",3,0.0679865082486578,0.4921347333333334,0.994079333333333,0.9991793333333335,3.9488211999999994
